text	reference
anwrthwynebolat bethau ysprydol.Bum am dro yn syllu mewn distawrwydd ar y corphmarw, ac o 'r braidd yr oeddwn yn gallu credu nad	CMB 44.  33
y maent yna. Nid rhyfedd yn wir ebr fi,a hawddgared ydynt, pettwn perchen traeda dwylo fel y bum, minneu awn i garuneu addoli y rhain. Taw, taw, ebr ynte,	GBC 10.  29
a Llys teg iawn, ac arno wedi derchafu 'nuchel hanner lleuad ar Faner aur, wrth hyngwybum mai 'r Twrc oedd yno. Nesa at yPorth ond y rhain, oedd lys Lewis XIV. o	GBC 16.  12
ddwg dy holl stat oddiarnat, a chwil gwydd,heb nac iawn na rhwymedi i gael arno? Apheth yw Pigwr-pocced, a ddygobumpynt,wrth gogiwr dis, a 'th yspeilia o	GBC 21.  27-28
Brydydd ac yn Gyfreithiwr, pwy a wyr p'runai Cig ai Pyscod fyddei: ac yn siccr, osbyddei 'n un o Wyr Llys fel y bum i, acyn gorfod iddo newid ei flas at bob geneu.	GBC 62.  12
gael ei ddanfon gan Dduw; yn drydydd, i ymarferymolchiadau yn fynych, ac ymburo; yn bedwarydd,i weddio ar yr amser gosodedig; yn bummed, i roielusennau; yn chwechfed, i ymprydio yn mis	HHGB 53.  33
bererindod i Mecca; yn wythfed, i ymwrthod aphob chwaryddiaeth a diod gadarn; yn nawfed, ibriodi dan bump ar hugain oed; ond nid i gaelychwaneg	HHGB 53.  38
Ni fu fy meistres fwyn, dirion, fyw ond dwyflynedd ar ol fy meistr. Ei marwolaeth hi fu golledmawr i mi. Hi adawodd ar ei hol bum mab, ollyn wyr ieuaingc grasol, ac yn weinidogion yr	JAUG 24.  8
dalu iddo, i ba beth y cyttunais. Enw ein captenoedd -  -  -   -  -  -  mi aethum dan enw cogydd iddo.Yn agos i St. Dominigo ni a ddaethom i fynu at bumpo longau marsiandwyr Ffraingc. Fe ddarfu in' gael	JAUG 25.  22
ei gynnyg; ond fe wnaeth i mi roddi hannercoron am fyned gyd a mi, ac eilwaith wnaeth i miroddi iddo bum swllt yn rhagor am fy arwain i dycyfarfod Dr. Gifford.	JAUG 30.  28
Gwelwn freuddwyd go ddrych aniali//        'm dychrynnuBum felly dros awrAc yn fy Mreuddwyd mi welwn ryw guttog	LlGM LlGM16   5
Cyngor Hen Wraig i//        'w Mab. Y Mesur//Cwympiad y Dail.Happiodd i mi wrth DrafaelioSyrthio i 'r fann lle bum yn gwrandoAr gyf'rwyddyd Gwraig yn dysgu	LlGM LlGM17   2
Ag y cynhaliwyd Hwnn o hydEr dechreuad hynn o brydNi bum ond ennyd ynddoNid wyf ond gwirion Duw 'n fy rhann	LlGM LlGM19   4
Lhe mae goreu cael fy Ngweled.I b'le gann hynny 'r ei di heno?Lle bum i Neithiwr 'rwy 'n gobeithioOes Cydnabyddiaeth iti 'n agos?	LlGM LlGM35   6
fwyfwy'r Clwt, fwyfwy'r Cadach, ac ymhell ybwyf, (ie pellach o Fon nag ydwyf) os gwn i pa'r fyda'm dwg. Ni's gwybum i mo'm geni, er clywed ganfy Mam ganwaith, nes dyfod i fysg y Saeson drelion	LlGO LlGO_BLAdd15037_10 45r.  13
Clochydd. Ac yn wir y Clochydd a fyddai 'n eichadw o'r blaen ond bod y Curad yn rhoi iddobumpunt o'r tair ar ddeg am ei boen. Ond nidoes erbyn edrych gan y Plwyfolion ddim	LlGO LlGO_NLW17B_20 245.  11
Myfi sydd (megys) Llew rhag (y) llu a ruthrant lychiant ar fy nghaerau;Ie'n siwr. Dyn gwych a Gwalchmai.Bum yn effro trwy'r nos yn cadw (y) terfyn(wrth) Rhydau wedi eu harloesi, Dwr a dynn y Cenn	LlGO LlGO_NLW17B_22 249.  23
anghysurus a glywsoch o Gaer Nerpwl,oblegid ni chlywais i ddim rhyfedd sydd yn nesatti. Gwir yw, ni bum yno erys Ennyd, ond odidi ddim a dalo i son am dano ddigwydd yno	LlGO LlGO_NLW17B_30 273.  10
ddrewedig anaele. Fe debygai Ddyn wrth Dafodac Araith Elisa mai ar laeth Gast y magesid efynghymysg ag Album Graecum, ac mai Swyddei Dafod, cyn dysgu siarad, oedd llyft_n_u, ac	LlGO LlGO_NLW17B_46 314.  2
ga'dd ei ladd gan ei frawd Dafydd. Ond rhyfedd iHowel, ac ynteu'n fab i Wyddeles, fod cystal Bardd?Ni chlybum ermoed son am ddim o waith Dafyddap Owain Gwynedd, er ei fod yn Gymro	LlGO LlGO_NLW17B_50 323.  12
and worn out with Cares and Afflictions can't hold Gwnaed Duw a fynno.  -Ni bum yn glaf Galan ermoed o'r blaen, am hynymi wneuthum ryw fath ar Gywydd i hwn, sef y Calan	LlGO LlGO_NLW17B_52 331.  4
Purdan? Os Penyd a wna'r tro , wele ddigoneisus, fod cyhyd heb glywed oddiwrthych, a thradiddaned i'm gynt eich Epistolau! Tra bumyn Llundain, un Achos arbennig na	LlGO LlGO_NLW17B_62 338.  19
Northolt Iune 25. 1757.Y Cydwladwr mwyn,Doe y bum yn Llundain yn ymweled a'chBrawd ac yn rhywsut fe ffynnodd genym fod yn	LlGO LlGO_NLW17B_73 343.  9
tros dippin o flynyddodd, mi rwufi yn gobeithio y cewchchwi (fy nheulu) fy ngweled i er ich cysur; nid iw  fi ddimyn ame na bum i yn llawer o flinder i bob un ohonoch,Ond nid oedd gennif ddim help os oeddwn ni yn ddi barch	NLW2722E NLW2722E_2 4.  32
ar hon Vair // i vamaethY bumed rinwedd enwoggael o Elen lueddog	Pen218 Pen218_Ateb   85
nas gellir i ti mo 'r ymddiried.y Dyllvan:/O bum mewn tai gweigionheb wybod y 'w perchnogion	Pen218 Pen218_Wtreswr   41
modd i gwelais yn greulongwedi yfed mwy na digonmewn tafarne y bum inevagad o nosweithie	Pen218 Pen218_Wtreswr   183
os gelli aros etto vunudmae rhagor gennyf y 'w ddoedydModd i bum yn llechu weithieyn gwrando ar gadw dadle	Pen218 Pen218_Wtreswr   345
mae llawer maen gwrthfawrAc ynddi y mae hevydlysowod o bum gwrydac o vewn i hamgylchoedd	Pen218 Pen218_Mandefil   276
yr unved flwyddyn ar ddec ar hvgaint gwedidyvod y saesson i 'r tir / a gwedi parhav o 'r frenhiniethhonn 231 o flynyddoedd dann bump nev chwecho frenhinoedd yr aeth hi i frenhin West Sex oed krist	RhY 28.  22
dioddefwch y//       'n eneidieyn dragwyddawl//        fyw yn yr unlleIti Troya bum ynot vyw mewn dolurdithe Priaf a//       'm holl gowir vrodur	TCh   1757
a chalon drom amdanad hawdd y galla hiraethua vu neb o ddydd i nos o nos i ddydd yn wyloy modd y bum if yn aros y decfed//        noswaith henoTyr//         ed _y_e_//         wyt ti/n/ agos	TCh   2206
Arthur hwynt, a rhoi i farchogion o'r naill tu a Morydd,iarll Caerloiw, o'r blaen. A beddino i lu a wnaeth yn wythbyddin, ag ir oedd bum cant a chwe mil o wyr ymladdprofadwy ymhob byddin. Ag yna, wedi i parattoi hwynt	YK Llst 129, 45r.  1
